=== GEN PHASE START Wed May 13 08:34:30 PM JST 2026 ===
Pending: 6832 frames
  OK talk_1 (1573→5336)
  OK talk_2 (1573→5336)
  OK talk_3 (1573→5336)
  OK hand_2 (1577→6558)
  OK hand_3 (1577→6558)
  OK level_1 (1577→6558)
  OK level_2 (1577→6558)
  OK level_3 (1577→6558)
  OK mind_1 (1593→6370)
  OK mind_2 (1593→6370)
  OK single_1 (1593→6370)
  OK single_2 (1593→6370)
  OK single_3 (1593→6370)
  OK control_3 (1592→6452)
  OK death_1 (1592→6452)
  OK death_2 (1592→6452)
  OK food_1 (1592→6452)
  OK food_2 (1592→6452)
  OK class_1 (1547→4972)
  OK class_2 (1547→4972)
  OK close_1 (1547→4972)
  SKIP close_2: expected 3–6 groups, got 2
  OK cause_1 (1547→4972)
  OK cause_2 (1554→5629)
  OK happy_1 (1554→5629)
  OK happy_2 (1554→5629)
  OK human_1 (1554→5629)
  OK human_2 (1554→5629)
  OK coming_1 (1601→8883)
  OK coming_2 (1601→8883)
  OK coming_3 (1601→8883)
  OK control_1 (1601→8883)
  OK control_2 (1601→8883)
  OK move_1 (1544→5278)
  OK move_2 (1544→5278)
  OK question_1 (1544→5278)
  OK question_2 (1544→5278)
  OK series_1 (1544→5278)
  OK stay_2 (1575→2007)
  OK age_1 (1575→2007)
  OK age_2 (1575→2007)
  OK buy_1 (1575→2007)
  OK buy_2 (1575→2007)
  OK watch_1 (1563→5770)
  OK watch_2 (1563→5770)
  OK light_1 (1563→5770)
  OK light_2 (1563→5770)
  OK light_3 (1563→5770)
  OK series_2 (1554→7032)
  OK wait_1 (1554→7032)
  OK wait_2 (1554→7032)
  OK ask_1 (1554→7032)
  OK ask_2 (1554→7032)
  OK low_1 (1578→4654)
  OK police_1 (1578→4654)
  OK short_1 (1578→4654)
  OK short_2 (1578→4654)
  OK stay_1 (1578→4654)
  OK community_1 (1570→6831)
  OK community_2 (1570→6831)
  OK late_1 (1570→6831)
  OK late_2 (1570→6831)
  OK leave_1 (1570→6831)
  OK buy_3 (1579→2517)
  OK deal_1 (1579→2517)
  OK deal_2 (1579→2517)
  OK report_1 (1579→2517)
  OK report_2 (1579→2517)
  OK act_3 (1598→1305)
  OK fire_1 (1598→1305)
  OK fire_2 (1598→1305)
  OK fire_3 (1598→1305)
  OK major_1 (1598→1305)
  OK form_2 (1565→2339)
  OK heart_1 (1565→2339)
  OK heart_2 (1565→2339)
  OK act_1 (1565→2339)
  OK act_2 (1565→2339)
  OK third_1 (1573→4907)
  OK third_2 (1573→4907)
  OK turn_1 (1573→4907)
  OK turn_2 (1573→4907)
  OK turn_3 (1573→4907)
  OK check_1 (1564→5263)
  OK check_2 (1564→5263)
  OK check_3 (1564→5263)
  OK development_1 (1564→5263)
  OK form_1 (1564→5263)
  OK leave_2 (1549→9512)
  OK north_1 (1549→9512)
  OK north_2 (1549→9512)
  OK saw_1 (1549→9512)
  OK saw_2 (1549→9512)
  OK front_3 (1633→2551)
  OK front_4 (1633→2551)
  OK list_1 (1633→2551)
  OK list_2 (1633→2551)
  OK ready_1 (1633→2551)
  OK major_2 (1618→5225)
  OK major_3 (1618→5225)
  OK phone_1 (1618→5225)
  OK phone_2 (1618→5225)
  OK art_1 (1618→5225)
  OK office_1 (1631→3473)
  OK office_2 (1631→3473)
  OK pay_1 (1631→3473)
  OK pay_2 (1631→3473)
  OK south_1 (1631→3473)
  OK art_2 (1639→5952)
  OK building_1 (1639→5952)
  OK building_2 (1639→5952)
  OK market_1 (1639→5952)
  OK market_2 (1639→5952)
  OK plan_1 (1666→5455)
  OK plan_2 (1666→5455)
  OK final_1 (1666→5455)
  OK front_1 (1666→5455)
  OK front_2 (1666→5455)
  GEN API ERROR for south_2…: Expecting value: line 339 column 1 (char 1859)
  OK large_1 (1623→5787)
  OK large_2 (1623→5787)
  OK lost_1 (1623→5787)
  OK lost_2 (1623→5787)
  OK room_1 (1623→5787)
  OK girl_1 (1627→6042)
  OK girl_2 (1627→6042)
  OK matter_1 (1627→6042)
  OK matter_2 (1627→6042)
  OK pretty_1 (1627→6042)
  OK room_2 (1601→6543)
  OK win_1 (1601→6543)
  OK win_2 (1601→6543)
  OK wrong_1 (1601→6543)
  OK wrong_2 (1601→6543)
  OK friend_1 (1643→4724)
  OK friend_2 (1643→4724)
  OK hit_1 (1643→4724)
  OK hit_2 (1643→4724)
  SKIP nice_1: expected 3–6 groups, got 2
  OK pretty_2 (1595→6483)
  OK air_1 (1595→6483)
  OK air_2 (1595→6483)
  OK bit_1 (1595→6483)
  OK bit_2 (1595→6483)
  OK cut_3 (1611→3579)
  OK field_1 (1611→3579)
  OK field_2 (1611→3579)
  OK field_3 (1611→3579)
  OK main_1 (1611→3579)
  OK board_3 (1581→6346)
  OK cost_1 (1581→6346)
  OK cost_2 (1581→6346)
  OK cut_1 (1581→6346)
  OK cut_2 (1581→6346)
  OK nice_2 (1592→7073)
  OK understand_1 (1592→7073)
  OK understand_2 (1592→7073)
  OK board_1 (1592→7073)
  OK board_2 (1592→7073)
  OK issue_3 (1592→4762)
  OK price_1 (1592→4762)
  OK price_2 (1592→4762)
  OK rest_1 (1592→4762)
  OK rest_2 (1592→4762)
  OK mother_1 (1591→4691)
  OK mother_2 (1591→4691)
  OK fight_1 (1591→4691)
  OK fight_2 (1591→4691)
  OK force_1 (1591→4691)
  OK force_2 (1549→4044)
  OK hear_1 (1549→4044)
  OK hear_2 (1549→4044)
  OK issue_1 (1549→4044)
  OK issue_2 (1549→4044)
  OK knew_1 (1555→3670)
  OK knew_2 (1555→3670)
  OK lead_1 (1555→3670)
  OK lead_2 (1555→3670)
  OK lead_3 (1555→3670)
  OK died_1 (1573→5634)
  OK died_2 (1573→5634)
  OK film_1 (1573→5634)
  OK film_2 (1573→5634)
  OK film_3 (1573→5634)
  OK dead_1 (1556→3527)
  OK dead_2 (1556→3527)
  OK happen_1 (1556→3527)
  OK happen_2 (1556→3527)
  OK hold_1 (1556→3527)
  OK perfect_1 (1546→4506)
  OK perfect_2 (1546→4506)
  OK share_1 (1546→4506)
  OK share_2 (1546→4506)
  OK share_3 (1546→4506)
  OK return_2 (1538→5388)
  OK sense_1 (1538→5388)
  OK sense_2 (1538→5388)
  OK sense_3 (1538→5388)
  OK star_1 (1538→5388)
  OK hold_2 (1551→4881)
  OK hold_3 (1551→4881)
  OK private_1 (1551→4881)
  OK private_2 (1551→4881)
  OK return_1 (1551→4881)
  OK view_2 (1542→7051)
  OK view_3 (1542→7051)
  OK break_1 (1542→7051)
  OK break_2 (1542→7051)
  OK break_3 (1542→7051)
  OK star_2 (1544→8005)
  OK star_3 (1544→8005)
  OK test_1 (1544→8005)
  OK test_2 (1544→8005)
  OK view_1 (1544→8005)
  OK car_2 (1562→4115)
  OK face_1 (1562→4115)
  OK face_2 (1562→4115)
  OK face_3 (1562→4115)
  OK kind_1 (1562→4115)
  OK kind_2 (1568→3548)
  OK president_1 (1568→3548)
  OK president_2 (1568→3548)
  OK story_1 (1568→3548)
  OK story_2 (1568→3548)
  OK war_2 (1565→5963)
  OK whole_1 (1565→5963)
  OK whole_2 (1565→5963)
  OK whole_3 (1565→5963)
  OK car_1 (1565→5963)
  OK area_2 (1583→7140)
  OK black_1 (1583→7140)
  OK black_2 (1583→7140)
  OK black_3 (1583→7140)
  OK following_1 (1583→7140)
  OK event_1 (1562→11528)
  OK event_2 (1562→11528)
  OK hour_1 (1562→11528)
  OK hour_2 (1562→11528)
  OK area_1 (1562→11528)
  OK following_2 (1596→7050)
  OK following_3 (1596→7050)
  OK law_1 (1596→7050)
  OK law_2 (1596→7050)
  OK war_1 (1596→7050)
  OK story_3 (1586→3675)
  OK working_1 (1586→3675)
  OK working_2 (1586→3675)
  OK course_1 (1586→3675)
  OK course_2 (1586→3675)
  OK course_3 (1587→3920)
  OK hope_1 (1587→3920)
  OK hope_2 (1587→3920)
  OK able_1 (1587→3920)
  OK able_2 (1587→3920)
  OK miss_2 (1606→2274)
  OK miss_3 (1606→2274)
  OK project_1 (1606→2274)
  OK project_2 (1606→2274)
  OK project_3 (1606→2274)
  OK site_3 (1566→4014)
  OK account_1 (1566→4014)
  OK account_2 (1566→4014)
  OK account_3 (1566→4014)
  OK period_1 (1566→4014)
  OK book_1 (1578→5779)
  OK book_2 (1578→5779)
  OK space_1 (1578→5779)
  OK space_2 (1578→5779)
  OK space_3 (1578→5779)
  OK date_3 (1573→5712)
  OK land_1 (1573→5712)
  OK land_2 (1573→5712)
  OK land_3 (1573→5712)
  OK miss_1 (1573→5712)
  OK term_1 (1591→5699)
  OK term_2 (1591→5699)
  OK term_3 (1591→5699)
  OK date_1 (1591→5699)
  OK date_2 (1591→5699)
  OK record_1 (1601→2475)
  OK record_2 (1601→2475)
  OK record_3 (1601→2475)
  OK bring_1 (1601→2475)
  OK bring_2 (1601→2475)
  OK period_2 (1565→4715)
  OK period_3 (1565→4715)
  OK position_1 (1565→4715)
  OK position_2 (1565→4715)
  OK position_3 (1565→4715)
  OK meet_2 (1631→2539)
  OK meet_3 (1631→2539)
  OK program_1 (1631→2539)
  OK program_2 (1631→2539)
  OK program_3 (1631→2539)
  OK shot_1 (1568→9812)
  OK shot_2 (1568→9812)
  OK shot_3 (1568→9812)
  OK site_1 (1568→9812)
  OK site_2 (1568→9812)
  OK example_2 (1626→4915)
  OK experience_1 (1626→4915)
  OK experience_2 (1626→4915)
  OK experience_3 (1626→4915)
  OK meet_1 (1626→4915)
  OK type_1 (1660→3983)
  OK type_2 (1660→3983)
  OK baby_1 (1660→3983)
  OK baby_2 (1660→3983)
  OK baby_3 (1660→3983)
  OK bring_3 (1615→7570)
  OK current_1 (1615→7570)
  OK current_2 (1615→7570)
  OK current_3 (1615→7570)
  OK example_1 (1615→7570)
  OK study_3 (1647→2190)
  OK study_4 (1647→2190)
  OK word_1 (1647→2190)
  OK word_2 (1647→2190)
  OK word_3 (1647→2190)
  OK chance_1 (1620→6978)
  OK chance_2 (1620→6978)
  OK chance_3 (1620→6978)
  OK father_1 (1620→6978)
  OK father_2 (1620→6978)
  OK action_1 (1642→5090)
  OK action_2 (1642→5090)
  OK action_3 (1642→5090)
  OK clear_1 (1642→5090)
  OK clear_2 (1642→5090)
  OK clear_3 (1670→4360)
  OK gave_1 (1670→4360)
  OK gave_2 (1670→4360)
  OK gave_3 (1670→4360)
  OK member_1 (1670→4360)
  OK march_1 (1672→5849)
  OK march_2 (1672→5849)
  OK march_3 (1672→5849)
  OK process_1 (1672→5849)
  OK process_2 (1672→5849)
  OK song_1 (1647→7280)
  OK song_2 (1647→7280)
  OK song_3 (1647→7280)
  OK study_1 (1647→7280)
  OK study_2 (1647→7280)
  OK member_2 (1590→6710)
  OK needed_1 (1590→6710)
  OK needed_2 (1590→6710)
  OK present_1 (1590→6710)
  OK present_2 (1590→6710)
  OK learn_2 (1550→4925)
  OK bank_1 (1550→4925)
  OK bank_2 (1550→4925)
  SKIP hot_1: expected 3–6 groups, got 2
  SKIP hot_2: expected 3–6 groups, got 2
  OK answer_1 (1602→6867)
  OK answer_2 (1602→6867)
  OK design_1 (1602→6867)
  OK design_2 (1602→6867)
  OK gold_1 (1602→6867)
  OK present_3 (1582→8246)
  OK result_1 (1582→8246)
  OK result_2 (1582→8246)
  OK sorry_1 (1582→8246)
  OK sorry_2 (1582→8246)
  OK longer_1 (1573→4322)
  OK longer_2 (1573→4322)
  OK rate_1 (1573→4322)
  OK rate_2 (1573→4322)
  OK rate_3 (1573→4322)
  OK interest_1 (1565→6963)
  OK interest_2 (1565→6963)
  OK king_1 (1565→6963)
  OK king_2 (1565→6963)
  OK learn_1 (1565→6963)
  OK gold_2 (1576→9547)
  OK gone_1 (1576→9547)
  OK gone_2 (1576→9547)
  OK guess_1 (1576→9547)
  OK guess_2 (1576→9547)
  OK round_1 (1588→4207)
  OK round_2 (1588→4207)
  OK save_1 (1588→4207)
  OK save_2 (1588→4207)
  OK save_3 (1588→4207)
  OK stand_1 (1561→5315)
  OK stand_2 (1561→5315)
  OK stand_3 (1561→5315)
  OK amount_1 (1561→5315)
  OK amount_2 (1561→5315)
  OK picture_2 (1590→3239)
  OK picture_3 (1590→3239)
  OK size_1 (1590→3239)
  OK size_2 (1590→3239)
  OK movie_1 (1590→3239)
  OK amount_3 (1567→4571)
  OK drive_1 (1567→4571)
  OK drive_2 (1567→4571)
  OK drive_3 (1567→4571)
  OK fall_1 (1567→4571)
  OK match_3 (1560→5002)
  OK model_1 (1560→5002)
  OK model_2 (1560→5002)
  OK model_3 (1560→5002)
  OK picture_1 (1560→5002)
  OK feeling_2 (1573→4491)
  OK green_1 (1573→4491)
  OK green_2 (1573→4491)
